Product ID,Product Name,Total_Sales,Total_Cost,Total_Units,Gross_Profit,Gross_Margin_%,Profit_Per_Unit,Revenue_Contribution_%,Profit_Contribution_%,Performance_Category,Cost_to_Sales_%,Margin_Risk
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,11365.2,3472.7000000000003,3157,7892.5,69.44444444444444,2.5,19.916263792186164,20.921428207890475,High Sales / High Margin,30.555555555555557,False
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11058.75,3833.7,2949,7225.05,65.33333333333333,2.45,19.37924385068796,19.15215266055357,High Sales / High Margin,34.666666666666664,False
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,9890.66,2834.0,2834,7056.66,71.34670487106017,2.49,17.332294516491043,18.705784678808037,High Sales / High Margin,28.653295128939828,False
CHO-FUD-51000,Wonka Bar - Fudge Mallows,10317.6,3439.2,2866,6878.4,66.66666666666666,2.4,18.08045993931123,18.233253314558613,High Sales / High Margin,33.33333333333333,False
CHO-MIL-31000,Wonka Bar - Milk Chocolate,10565.75,3706.14,3251,6859.61,64.92307692307692,2.11,18.51531553886345,18.18344480825183,High Sales / High Margin,35.07692307692308,False
OTH-LIC-15000,Lickable Wallpaper,3040.0,1520.0,152,1520.0,50.0,10.0,5.327265857903595,4.029213921570292,High Sales / Low Margin,50.0,True
OTH-GUM-21000,Wonka Gum,253.75,121.8,203,131.95,51.99999999999999,0.6499999999999999,0.4446689840273149,0.3497728795731578,High Sales / Low Margin,48.0,True
SUG-EVE-47000,Everlasting Gobstopper,100.0,20.0,10,80.0,80.0,8.0,0.1752390084836708,0.2120638906089626,Low Sales / High Margin,20.0,False
OTH-KAZ-38000,Kazookles,393.25,363.0,121,30.25,7.6923076923076925,0.25,0.6891274008620357,0.080186658636514,High Sales / Low Margin,92.3076923076923,True
SUG-HAI-55000,Hair Toffee,31.5,7.0,7,24.5,77.77777777777779,3.5,0.0552002876723563,0.0649445664989948,Low Sales / High Margin,22.22222222222222,False
OTH-FIZ-56000,Fizzy Lifting Drinks,15.0,6.0,4,9.0,60.0,2.25,0.0262858512725506,0.0238571876935083,Low Sales / Low Margin,40.0,True
SUG-SWE-91000,SweeTARTS,16.5,8.8,11,7.7,46.66666666666666,0.7000000000000001,0.0289144363998056,0.0204111494711126,Low Sales / Low Margin,53.333333333333336,True
SUG-LAF-25000,Laffy Taffy,7.96,3.0,4,4.96,62.311557788944725,1.24,0.0139490250753002,0.0131479612177556,Low Sales / High Margin,37.68844221105528,False
SUG-NER-92000,Nerds,4.5,2.4000000000000004,3,2.1,46.66666666666666,0.6999999999999998,0.0078857553817651,0.0055666771284852,Low Sales / Low Margin,53.33333333333334,True
SUG-FUN-75000,Fun Dip,4.5,2.7,3,1.8,40.0,0.6,0.0078857553817651,0.0047714375387016,Low Sales / Low Margin,60.00000000000001,True
