Year_Month,Total_Sales,Total_Cost,Total_Profit,Total_Units,Order_Count,Gross_Margin_%
2024-01,1856.73,618.36,1238.3700000000001,516,114,66.69628863647381
2024-02,1997.29,691.44,1305.85,529,118,65.3810913788183
2024-03,1613.48,575.1,1038.38,434,108,64.35654609911496
2024-04,1508.05,501.28,1006.77,434,102,66.75972282086138
2024-05,2429.01,871.24,1557.77,615,140,64.13188912355238
2024-06,1637.55,527.88,1109.67,467,110,67.76403773930568
2024-07,1829.38,621.24,1208.14,527,122,66.04095376575671
2024-08,2170.2200000000003,730.18,1440.04,614,134,66.35456313184838
2024-09,2025.31,676.8199999999999,1348.49,573,114,66.58190597982532
2024-10,1418.45,465.4,953.05,408,91,67.18953787585039
2024-11,2117.36,698.58,1418.78,585,118,67.00702761929949
2024-12,2045.94,692.76,1353.18,553,117,66.13976949470658
2025-01,2960.67,991.6,1969.07,813,173,66.50758105428838
2025-02,4270.9800000000005,1563.14,2707.84,1025,210,63.400905646947535
2025-03,3348.48,1123.78,2224.7,921,196,66.4391007262997
2025-04,2637.8,923.7,1714.1,673,178,64.98218212146485
2025-05,3040.75,1035.32,2005.43,813,179,65.9518210967689
2025-06,2137.95,703.69,1434.26,604,134,67.08575972309923
2025-07,2168.48,708.18,1460.3,619,143,67.34210137976831
2025-08,2935.21,973.55,1961.66,830,186,66.83201542649418
2025-09,2497.7200000000003,815.72,1682.0,709,165,67.34141537081818
2025-10,2830.88,982.6,1848.28,736,172,65.28994517605832
2025-11,2695.78,891.3,1804.48,773,167,66.9372129773201
2025-12,2891.45,957.58,1933.8700000000001,804,171,66.88236006156082
