Product ID,Product Name,Total_Sales,Total_Cost,Total_Units,Gross_Profit,Gross_Margin_%,Profit_Per_Unit,Revenue_Contribution_%,Profit_Contribution_%,Cumulative_Profit,Cumulative_Profit_%
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,11365.2,3472.7000000000003,3157,7892.5,69.44444444444444,2.5,19.916263792186164,20.921428207890475,7892.5,20.921428207890475
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11058.75,3833.7,2949,7225.05,65.33333333333333,2.45,19.37924385068796,19.15215266055357,15117.55,40.07358086844405
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,9890.66,2834.0,2834,7056.66,71.34670487106017,2.49,17.332294516491043,18.705784678808037,22174.21,58.779365547252084
CHO-FUD-51000,Wonka Bar - Fudge Mallows,10317.6,3439.2,2866,6878.4,66.66666666666666,2.4,18.08045993931123,18.233253314558613,29052.61,77.0126188618107
CHO-MIL-31000,Wonka Bar - Milk Chocolate,10565.75,3706.14,3251,6859.61,64.92307692307692,2.11,18.51531553886345,18.18344480825183,35912.22,95.19606367006253
OTH-LIC-15000,Lickable Wallpaper,3040.0,1520.0,152,1520.0,50.0,10.0,5.327265857903595,4.029213921570292,37432.22,99.22527759163282
OTH-GUM-21000,Wonka Gum,253.75,121.8,203,131.95,51.99999999999999,0.6499999999999999,0.4446689840273149,0.3497728795731578,37564.17,99.57505047120597
SUG-EVE-47000,Everlasting Gobstopper,100.0,20.0,10,80.0,80.0,8.0,0.1752390084836708,0.2120638906089626,37644.17,99.78711436181493
OTH-KAZ-38000,Kazookles,393.25,363.0,121,30.25,7.6923076923076925,0.25,0.6891274008620357,0.080186658636514,37674.42,99.86730102045145
SUG-HAI-55000,Hair Toffee,31.5,7.0,7,24.5,77.77777777777779,3.5,0.0552002876723563,0.0649445664989948,37698.92,99.93224558695044
OTH-FIZ-56000,Fizzy Lifting Drinks,15.0,6.0,4,9.0,60.0,2.25,0.0262858512725506,0.0238571876935083,37707.92,99.95610277464395
SUG-SWE-91000,SweeTARTS,16.5,8.8,11,7.7,46.66666666666666,0.7000000000000001,0.0289144363998056,0.0204111494711126,37715.619999999995,99.97651392411505
SUG-LAF-25000,Laffy Taffy,7.96,3.0,4,4.96,62.311557788944725,1.24,0.0139490250753002,0.0131479612177556,37720.579999999994,99.98966188533281
SUG-NER-92000,Nerds,4.5,2.4000000000000004,3,2.1,46.66666666666666,0.6999999999999998,0.0078857553817651,0.0055666771284852,37722.67999999999,99.99522856246129
SUG-FUN-75000,Fun Dip,4.5,2.7,3,1.8,40.0,0.6,0.0078857553817651,0.0047714375387016,37724.479999999996,100.0
